type-token	type_of
action-manner	has_manner
action-means	has_means
action-location	has_location
action-source	has_source
metaphor	metaphor_as
action-object	has_object
action-agent	has_agent
action-purpose	has_purpose
action-result	has_result
animal-meat	is_meat
artifact-art	artifact_of
aspect-concept	aspect_of
body_reaction - emotion	reveals
cause-action	cause_of
cause-effect	has_effect
container-content	container_of
natural_kind-purpose	has_purpose
institution-people_involved	involves
material-entity	material_of
measurement_unit_of	measurement_unit_of
artifact-user	used_by
artifact-use	used_for
part-whole	part_of
step-process	step_of
people-place	people_in
event-trigger	triggered_by
place-institution	place_of_realisation_of
place-event	place_of_event
prestate-entity	prestate_of
product-producer	produced_by
product-retailer	sold_by
symbolised_through	symbolised_through
audience-performer	addressee_of
has_colour 	has_colour
has_hue	has_hue
has_luminance	has_luminance
has_intensity	has_intensity
has_condition	has_condition
has_shape 	has_shape
has_length	has_length
has_width	has_width
has_height	has_height
has_depth	has_depth
has_size 	has_size
has_temperature	has_temperature
has_texture 	has_texture
has_weight 	has_weight
has_volume	has_volume
has_visual_pattern	has_visual_pattern
has_position	has_position
has_actuator 	has_actuator
has_direction 	has_direction
has_speed_rate 	has_speed_rate
has_velocity 	has_velocity
has_acceleration 	has_acceleration
token-type	isA
manner-action	manner_of
means-action	means_of
location-action	location_of
source-action	source_of
metaphor	metaphor_of
object-action	object_of
agent-action	agent_of
purpose-action	purpose_of
result-action	result_of
meat-animal	meat_of
art-artifact	has_artifact
concept-aspect	has_aspect
emotion-body_reaction	revealed_through
action-cause	caused_by
effect-cause	effect_of
content-container	content_of
purpose-natural_kind	purpose_of
people_involved-institution	involved_in
entity-material	made_of
measured_in	measured_in
user-artifact	uses
use-artifact	use_of
whole-part	has_part
process-step	has_step
place-people	place_of
trigger-event	trigger_of
institution-place	realised_in
event-place	takes_place_in
entity-prestate	has_prestate
producer-product	produces
retailer-product	retailer_of
symbol_of	symbol_of
performer-audience	performer_for
colour_of	colour_of
hue_of	hue_of
luminance_of	luminance_of
intensity_of	intensity_of
condition_of	condition_of
shape_of	shape_of
length_of	length_of
width_of	width_of
height_of	height_of
depth_of	depth_of
size_of	size_of
temperature_of	temperature_of
texture_of	texture_of
weight_of	weight_of
volume_of	volume_of
visual_pattern_of	visual_pattern_of
position_of	position_of
actuator_of	actuator_of
direction_of	direction_of
speed_rate_of	speed_rate_of
velocity_of	velocity_of
acceleration_of	acceleration_of
